departamento,year,month,chirps_precip_mm,fecha,precip_1,spi_1,precip_3,spi_3,precip_6,spi_6,precip_9,spi_9,precip_12,spi_12,evento_sequia_conocido,cat_oficial_spi_1,cat_recurrencia_spi_1,cat_oficial_spi_3,cat_recurrencia_spi_3,cat_oficial_spi_6,cat_recurrencia_spi_6,cat_oficial_spi_9,cat_recurrencia_spi_9,cat_oficial_spi_12,cat_recurrencia_spi_12,evento_spi_1_oficial,evento_spi_1_recurrencia,evento_spi_3_oficial,evento_spi_3_recurrencia,evento_spi_6_oficial,evento_spi_6_recurrencia,evento_spi_9_oficial,evento_spi_9_recurrencia,evento_spi_12_oficial,evento_spi_12_recurrencia,pago_spi_1,pago_spi_3,pago_spi_6,pago_spi_9,pago_spi_12,pago_spi_mejor
Caldas,1981,1,83.8885,1981-01-01,83.8885,-1.1581241966987172,,,,,,,,,0,Moderadamente seco,Sequía moderada,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0.15812419669871725,,,,,
Caldas,1981,2,196.01973,1981-02-01,196.01973,0.3129188249678948,,,,,,,,,0,Normal,Sin sequía,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
Caldas,1981,3,209.91017,1981-03-01,209.91017,-0.4812579990889826,489.8184,-0.548480897118017,,,,,,,0,Normal,Sequía leve,Normal,Sequía leve,,,,,,,0,1,0,1,0,0,0,0,0,0,0.0,0.0,,,,
Caldas,1981,4,349.2421,1981-04-01,349.2421,0.7998737709944621,755.172,0.2681618180169507,,,,,,,0,Normal,Sin sequía,Normal,Sin sequía,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,
Caldas,1981,5,418.13763,1981-05-01,418.13763,1.6826787441963906,977.2899,0.9857791442237258,,,,,,,0,Muy húmedo,Sin sequía,Normal,Sin sequía,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,
Caldas,1981,6,307.40854,1981-06-01,307.40854,1.3532450635532323,1074.78827,1.9993478404782312,1564.6066700000001,0.818460131018452,,,,,0,Moderadamente húmedo,Sin sequía,Muy húmedo,Sin sequía,Normal,Sin sequía,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
Caldas,1981,7,154.1921,1981-07-01,154.1921,-0.05027409953659256,879.73827,1.5859855237522495,1634.91027,1.1723859572015578,,,,,0,Normal,Sequía leve,Muy húmedo,Sin sequía,Moderadamente húmedo,Sin sequía,,,,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
Caldas,1981,8,245.82747,1981-08-01,245.82747,0.7270003592390991,707.4281100000001,0.9543485436881843,1684.71801,1.245326283367878,,,,,0,Normal,Sin sequía,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
Caldas,1981,9,251.61095,1981-09-01,251.61095,-0.10028725547665196,651.63052,0.2574995189370937,1726.41879,1.3480286321800667,2216.23719,0.7794700056434702,,,0,Normal,Sequía leve,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,Normal,Sin sequía,,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0
Caldas,1981,10,341.05612,1981-10-01,341.05612,0.008330032900786781,838.49454,0.31637397110962817,1718.23281,1.051971382692676,2473.40481,0.9299337716925689,,,0,Normal,Sin sequía,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,Normal,Sin sequía,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0
Caldas,1981,11,331.29852,1981-11-01,331.29852,0.5082969681880739,923.96559,0.1349721503666441,1631.3937,0.6682049861038624,2608.6836,0.9411334805487667,,,0,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0
Caldas,1981,12,223.37926,1981-12-01,223.37926,0.31878275689405067,895.7339,0.34814403606818384,1547.36442,0.3227458457563422,2622.15269,1.065454188488512,3111.97109,0.7015766379248628,0,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,Normal,Sin sequía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Caldas,1982,1,184.14081,1982-01-01,184.14081,0.5836959288345787,738.81859,0.5687671698320588,1577.31313,0.4886821741998708,2457.0514,0.9560330524039847,3212.2234,0.9004371704168593,0,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Caldas,1982,2,244.399,1982-02-01,244.399,0.8860951258368936,651.9190699999999,0.7950696417136517,1575.88466,0.5753878970777556,2283.31277,0.8020587088068907,3260.60267,1.000571351822942,0,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Caldas,1982,3,223.04573,1982-03-01,223.04573,-0.25340632603151286,651.58554,0.6238828364167409,1547.31944,0.5419264338476536,2198.94996,0.4605718436465597,3273.73823,1.0065058441789065,0,Normal,Sequía leve,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Caldas,1982,4,355.42255,1982-04-01,355.42255,0.8987272762934573,822.8672799999999,0.7733073153941394,1561.68587,0.7552562265436398,2400.18041,0.6763640025920846,3279.9186799999998,1.0174582503060694,0,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Normal,Sin sequía,Moderadamente húmedo,Sin sequía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
